Area Name,Year,Total
Acadia No. 34,2001,528
Acadia No. 34,2002,539
Acadia No. 34,2003,547
Acadia No. 34,2004,541
Acadia No. 34,2005,544
Acadia No. 34,2006,561
Acadia No. 34,2007,566
Acadia No. 34,2008,552
Acadia No. 34,2009,532
Acadia No. 34,2010,520
Acadia No. 34,2011,510
Acadia No. 34,2012,493
Acadia No. 34,2013,500
Acadia No. 34,2014,491
Acadia No. 34,2015,487
Acadia No. 34,2016,485
Acadia No. 34,2017,468
Acme,2001,661
Acme,2002,670
Acme,2003,666
Acme,2004,671
Acme,2005,669
Acme,2006,673
Acme,2007,685
Acme,2008,686
Acme,2009,682
Acme,2010,678
Acme,2011,672
Acme,2012,682
Acme,2013,686
Acme,2014,691
Acme,2015,694
Acme,2016,694
Acme,2017,689
Airdrie,2001,21077
Airdrie,2002,22794
Airdrie,2003,24357
Airdrie,2004,26008
Airdrie,2005,27995
Airdrie,2006,30309
Airdrie,2007,32973
Airdrie,2008,35771
Airdrie,2009,38704
Airdrie,2010,41478
Airdrie,2011,44350
Airdrie,2012,45709
Airdrie,2013,47389
Airdrie,2014,48957
Airdrie,2015,49964
Airdrie,2016,50976
Airdrie,2017,51747
Alberta Beach,2001,780
Alberta Beach,2002,805
Alberta Beach,2003,840
Alberta Beach,2004,853
Alberta Beach,2005,882
Alberta Beach,2006,903
Alberta Beach,2007,911
Alberta Beach,2008,908
Alberta Beach,2009,903
Alberta Beach,2010,893
Alberta Beach,2011,886
Alberta Beach,2012,888
Alberta Beach,2013,893
Alberta Beach,2014,885
Alberta Beach,2015,885
Alberta Beach,2016,887
Alberta Beach,2017,882
Alexander 134,2001,860
Alexander 134,2002,888
Alexander 134,2003,907
Alexander 134,2004,930
Alexander 134,2005,959
Alexander 134,2006,996
Alexander 134,2007,1020
Alexander 134,2008,1042
Alexander 134,2009,1056
Alexander 134,2010,1060
Alexander 134,2011,1062
Alexander 134,2012,1074
Alexander 134,2013,1096
Alexander 134,2014,1120
Alexander 134,2015,1133
Alexander 134,2016,1142
Alexander 134,2017,1154
Alexis 133,2001,829
Alexis 133,2002,826
Alexis 133,2003,821
Alexis 133,2004,786
Alexis 133,2005,769
Alexis 133,2006,761
Alexis 133,2007,786
Alexis 133,2008,806
Alexis 133,2009,817
Alexis 133,2010,827
Alexis 133,2011,843
Alexis 133,2012,839
Alexis 133,2013,842
Alexis 133,2014,840
Alexis 133,2015,833
Alexis 133,2016,827
Alexis 133,2017,818
Alix,2001,840
Alix,2002,834
Alix,2003,842
Alix,2004,840
Alix,2005,851
Alix,2006,876
Alix,2007,882
Alix,2008,882
Alix,2009,880
Alix,2010,867
Alix,2011,854
Alix,2012,868
Alix,2013,885
Alix,2014,895
Alix,2015,911
Alix,2016,915
Alix,2017,922
Alliance,2001,175
Alliance,2002,173
Alliance,2003,168
Alliance,2004,165
Alliance,2005,163
Alliance,2006,162
Alliance,2007,167
Alliance,2008,169
Alliance,2009,171
Alliance,2010,174
Alliance,2011,178
Alliance,2012,180
Alliance,2013,182
Alliance,2014,181
Alliance,2015,182
Alliance,2016,186
Alliance,2017,188
Allison Bay 219,2001,112
Allison Bay 219,2002,103
Allison Bay 219,2003,95
Allison Bay 219,2004,85
Allison Bay 219,2005,74
Allison Bay 219,2006,63
Allison Bay 219,2007,67
Allison Bay 219,2008,70
Allison Bay 219,2009,76
Allison Bay 219,2010,80
Allison Bay 219,2011,87
Allison Bay 219,2012,87
Allison Bay 219,2013,88
Allison Bay 219,2014,87
Allison Bay 219,2015,88
Allison Bay 219,2016,87
Allison Bay 219,2017,86
Amisk,2001,185
Amisk,2002,182
Amisk,2003,178
Amisk,2004,179
Amisk,2005,179
Amisk,2006,177
Amisk,2007,180
Amisk,2008,190
Amisk,2009,199
Amisk,2010,207
Amisk,2011,213
Amisk,2012,213
Amisk,2013,214
Amisk,2014,219
Amisk,2015,217
Amisk,2016,218
Amisk,2017,218
Andrew,2001,494
Andrew,2002,490
Andrew,2003,487
Andrew,2004,483
Andrew,2005,479
Andrew,2006,471
Andrew,2007,449
Andrew,2008,432
Andrew,2009,419
Andrew,2010,400
Andrew,2011,386
Andrew,2012,385
Andrew,2013,388
Andrew,2014,392
Andrew,2015,394
Andrew,2016,395
Andrew,2017,396
Argentia Beach,2001,24
Argentia Beach,2002,30
Argentia Beach,2003,36
Argentia Beach,2004,41
Argentia Beach,2005,48
Argentia Beach,2006,52
Argentia Beach,2007,45
Argentia Beach,2008,38
Argentia Beach,2009,30
Argentia Beach,2010,22
Argentia Beach,2011,15
Argentia Beach,2012,15
